#Optimization obtained via Optimization of the largest Eigenvalue
#
#Identifier DeltaT PurityOpt PurityStand MutInfOpt MutInfStand Purity1 Purity2 Purity3
#
75 0.001080 0.994836 0.994836 1.366493 1.366493 1.000000 1.000000 1.000000
76 0.001080 0.994836 0.994836 1.366493 1.366493 1.000000 1.000000 1.000000
77 0.001080 0.994836 0.994836 1.366493 1.366493 1.000000 1.000000 1.000000
78 0.001080 0.994836 0.994836 1.366493 1.366493 1.000000 1.000000 1.000000
79 0.001080 0.994836 0.994836 1.366493 1.366493 1.000000 1.000000 1.000000
80 0.001080 0.994836 0.994836 1.366493 1.366493 1.000000 1.000000 1.000000
81 0.001080 0.994836 0.994836 1.366493 1.366493 1.000000 1.000000 1.000000
82 0.001080 0.994836 0.994836 1.366493 1.366493 1.000000 1.000000 1.000000
83 0.001080 0.994836 0.994836 1.366493 1.366493 1.000000 1.000000 1.000000
84 0.001080 0.994836 0.994836 1.366493 1.366493 1.000000 1.000000 1.000000
85 0.001080 0.994836 0.994836 1.366493 1.366493 1.000000 1.000000 1.000000
86 0.001080 0.994836 0.994836 1.366493 1.366493 1.000000 1.000000 1.000000
87 0.001080 0.994836 0.994836 1.366493 1.366493 1.000000 1.000000 1.000000
88 0.001080 0.994836 0.994836 1.366493 1.366493 1.000000 1.000000 1.000000
89 0.001080 0.994836 0.994836 1.366493 1.366493 1.000000 1.000000 1.000000
90 0.001080 0.994836 0.994836 1.366493 1.366493 1.000000 1.000000 1.000000
91 0.001122 0.994634 0.994634 1.365820 1.365820 1.000000 1.000000 1.000000
92 0.001122 0.994634 0.994634 1.365820 1.365820 1.000000 1.000000 1.000000
93 0.001122 0.994634 0.994634 1.365820 1.365820 1.000000 1.000000 1.000000
94 0.001122 0.994634 0.994634 1.365820 1.365820 1.000000 1.000000 1.000000
95 0.001122 0.994634 0.994634 1.365820 1.365820 1.000000 1.000000 1.000000
96 0.001122 0.994634 0.994634 1.365820 1.365820 1.000000 1.000000 1.000000
97 0.001122 0.994634 0.994634 1.365820 1.365820 1.000000 1.000000 1.000000
98 0.001122 0.994634 0.994634 1.365820 1.365820 1.000000 1.000000 1.000000
99 0.001122 0.994634 0.994634 1.365820 1.365820 1.000000 1.000000 1.000000
100 0.001122 0.994634 0.994634 1.365820 1.365820 1.000000 1.000000 1.000000
101 0.001122 0.994634 0.994634 1.365820 1.365820 1.000000 1.000000 1.000000
102 0.001122 0.994634 0.994634 1.365820 1.365820 1.000000 1.000000 1.000000
103 0.001122 0.994634 0.994634 1.365820 1.365820 1.000000 1.000000 1.000000
104 0.001122 0.994634 0.994634 1.365820 1.365820 1.000000 1.000000 1.000000
105 0.001122 0.994634 0.994634 1.365820 1.365820 1.000000 1.000000 1.000000
106 0.001122 0.994634 0.994634 1.365820 1.365820 1.000000 1.000000 1.000000
107 0.001122 0.994634 0.994634 1.365820 1.365820 1.000000 1.000000 1.000000
108 0.001122 0.994634 0.994634 1.365820 1.365820 1.000000 1.000000 1.000000
109 0.001122 0.994634 0.994634 1.365820 1.365820 1.000000 1.000000 1.000000
110 0.001122 0.994634 0.994634 1.365820 1.365820 1.000000 1.000000 1.000000
111 0.001122 0.994634 0.994634 1.365820 1.365820 1.000000 1.000000 1.000000
112 0.001122 0.994634 0.994634 1.365820 1.365820 1.000000 1.000000 1.000000
113 0.001122 0.994634 0.994634 1.365820 1.365820 1.000000 1.000000 1.000000
114 0.001122 0.994634 0.994634 1.365820 1.365820 1.000000 1.000000 1.000000
