#Optimization obtained via Optimization of the distance to the set of unitaries
#
#Identifier DeltaT PurityOpt PurityStand MutInfOpt MutInfStand Purity1 Purity2 Purity3
#
75 0.001080 0.994836 0.994835 1.366830 1.366490 1.000000 1.000000 1.000000
76 0.001080 0.994836 0.994835 1.366826 1.366488 1.000000 1.000000 1.000000
77 0.001080 0.994837 0.994835 1.366829 1.366491 1.000000 1.000000 1.000000
78 0.001080 0.994836 0.994834 1.366824 1.366487 1.000000 1.000000 1.000000
79 0.001080 0.994837 0.994834 1.366831 1.366488 1.000000 1.000000 1.000000
80 0.001080 0.994837 0.994836 1.366833 1.366492 1.000000 1.000000 1.000000
81 0.001080 0.994837 0.994835 1.366832 1.366490 1.000000 1.000000 1.000000
82 0.001080 0.994837 0.994835 1.366832 1.366490 1.000000 1.000000 1.000000
83 0.001080 0.994837 0.994835 1.366829 1.366491 1.000000 1.000000 1.000000
84 0.001080 0.994836 0.994834 1.366829 1.366488 1.000000 1.000000 1.000000
85 0.001080 0.994836 0.994834 1.366825 1.366486 1.000000 1.000000 1.000000
86 0.001080 0.994837 0.994835 1.366831 1.366490 1.000000 1.000000 1.000000
87 0.001080 0.994837 0.994834 1.366830 1.366488 1.000000 1.000000 1.000000
88 0.001080 0.994837 0.994836 1.366833 1.366492 1.000000 1.000000 1.000000
89 0.001080 0.994836 0.994835 1.366827 1.366490 1.000000 1.000000 1.000000
90 0.001080 0.994837 0.994834 1.366830 1.366488 1.000000 1.000000 1.000000
91 0.001122 0.994634 0.994633 1.366168 1.365817 1.000000 1.000000 1.000000
92 0.001122 0.994635 0.994632 1.366173 1.365814 1.000000 1.000000 1.000000
93 0.001122 0.994636 0.994634 1.366174 1.365819 1.000000 1.000000 1.000000
94 0.001122 0.994635 0.994633 1.366173 1.365818 1.000000 1.000000 1.000000
95 0.001122 0.994635 0.994633 1.366173 1.365817 1.000000 1.000000 1.000000
96 0.001122 0.994635 0.994634 1.366174 1.365819 1.000000 1.000000 1.000000
97 0.001122 0.994635 0.994633 1.366173 1.365818 1.000000 1.000000 1.000000
98 0.001122 0.994635 0.994633 1.366169 1.365816 1.000000 1.000000 1.000000
99 0.001122 0.994636 0.994633 1.366175 1.365817 1.000000 1.000000 1.000000
100 0.001122 0.994635 0.994633 1.366169 1.365816 1.000000 1.000000 1.000000
101 0.001122 0.994635 0.994632 1.366172 1.365815 1.000000 1.000000 1.000000
102 0.001122 0.994633 0.994633 1.366162 1.365817 1.000000 1.000000 1.000000
103 0.001122 0.994635 0.994633 1.366170 1.365815 1.000000 1.000000 1.000000
104 0.001122 0.994635 0.994634 1.366174 1.365819 1.000000 1.000000 1.000000
105 0.001122 0.994635 0.994633 1.366170 1.365817 1.000000 1.000000 1.000000
