#Optimization obtained via Optimization of the purity of the resulting channel
#
#Identifier DeltaT PurityOpt PurityStand PurityBase MutInfOpt MutInfStand MutInfBase 
#
26 0.010975 0.999988 1.000000 0.994299 1.386218 1.386294 1.366685 

29 0.010975 0.999977 1.000000 0.994350 1.386154 1.386294 1.366838 

27 0.010975 0.999989 1.000000 0.995304 1.386224 1.386293 1.369698 

36 0.010975 0.999980 1.000000 0.995645 1.386171 1.386294 1.370740 

22 0.010975 0.999994 1.000000 0.997103 1.386255 1.386294 1.375363 

30 0.010975 0.999982 1.000000 0.995927 1.386181 1.386294 1.371606 

23 0.010975 0.999993 1.000000 0.994699 1.386246 1.386294 1.367872 

39 0.010975 0.999997 1.000000 0.996188 1.386273 1.386294 1.372431 

40 0.010975 0.999988 1.000000 0.994227 1.386219 1.386294 1.366471 

45 0.012045 0.999978 1.000000 0.994255 1.386160 1.386294 1.366558 

48 0.012045 0.999980 1.000000 0.994460 1.386167 1.386293 1.367165 

47 0.012045 0.999988 1.000000 0.991257 1.386215 1.386293 1.358069 

52 0.012045 0.999999 1.000000 0.996423 1.386284 1.386294 1.373170 

46 0.012045 0.999985 1.000000 0.993944 1.386195 1.386294 1.365646 

50 0.012045 0.999987 1.000000 0.995682 1.386211 1.386294 1.370851 

43 0.012045 0.999991 1.000000 0.995488 1.386231 1.386294 1.370257 

56 0.012045 0.999993 1.000000 0.997136 1.386245 1.386293 1.375471 

58 0.012045 0.999981 1.000000 0.993117 1.386174 1.386294 1.363270 

54 0.012045 0.999983 1.000000 0.990920 1.386187 1.386294 1.357121 

55 0.012045 0.999996 1.000000 0.993954 1.386268 1.386294 1.365683 

57 0.012045 0.999992 1.000000 0.994972 1.386241 1.386294 1.368696 

53 0.012045 0.999998 1.000000 0.998201 1.386283 1.386294 1.379080 

44 0.012045 0.999990 1.000000 0.992839 1.386229 1.386294 1.362480 

51 0.012045 0.999988 1.000000 0.995653 1.386214 1.386294 1.370758 

49 0.012045 0.999992 1.000000 0.993932 1.386241 1.386294 1.365620 

42 0.012045 0.999991 1.000000 0.996688 1.386232 1.386294 1.374017 

41 0.012045 0.999994 1.000000 0.991841 1.386252 1.386294 1.359680 

60 0.012045 0.999990 1.000000 0.994331 1.386231 1.386294 1.366785 

59 0.012045 0.999996 1.000000 0.996239 1.386265 1.386294 1.372589 

75 0.013219 0.999997 1.000000 0.993263 1.386274 1.386294 1.363689 

65 0.013219 0.999995 1.000000 0.994555 1.386258 1.386294 1.367452 

77 0.013219 0.999994 1.000000 0.993645 1.386254 1.386294 1.364782 

72 0.013219 0.999966 1.000000 0.996733 1.386089 1.386294 1.374162 

67 0.013219 0.999935 1.000000 0.987225 1.385927 1.386294 1.347426 

62 0.013219 0.999994 1.000000 0.995898 1.386252 1.386294 1.371525 

66 0.013219 0.999992 1.000000 0.991386 1.386239 1.386294 1.358417 

69 0.013219 0.999982 1.000000 0.991951 1.386180 1.386294 1.359976 

73 0.013219 0.999989 1.000000 0.998154 1.386224 1.386294 1.378917 

78 0.013219 0.999961 1.000000 0.987949 1.386065 1.386294 1.349233 

68 0.013219 0.999989 1.000000 0.992258 1.386219 1.386294 1.360844 

70 0.013219 0.999992 1.000000 0.995139 1.386238 1.386294 1.369195 

64 0.013219 0.999981 1.000000 0.990856 1.386177 1.386293 1.356983 

76 0.013219 0.999998 1.000000 0.993422 1.386280 1.386293 1.364142 

61 0.013219 0.999997 1.000000 0.991035 1.386273 1.386293 1.357474 

74 0.013219 0.999970 1.000000 0.991019 1.386111 1.386294 1.357417 

63 0.013219 0.999980 1.000000 0.993485 1.386167 1.386294 1.364321 

71 0.013219 0.999966 1.000000 0.990752 1.386090 1.386294 1.356664 

80 0.013219 0.999971 1.000000 0.988883 1.386121 1.386294 1.351665 

79 0.013219 0.999964 1.000000 0.993537 1.386078 1.386294 1.364467 

95 0.014508 0.999992 1.000000 0.992535 1.386241 1.386294 1.361621 

82 0.014508 0.999975 1.000000 0.994974 1.386140 1.386294 1.368699 

85 0.014508 0.999980 1.000000 0.992886 1.386170 1.386294 1.362612 

87 0.014508 0.999985 1.000000 0.990211 1.386199 1.386292 1.355241 

98 0.014508 0.999954 1.000000 0.986900 1.386023 1.386293 1.346537 

81 0.014508 0.999994 1.000000 0.990691 1.386255 1.386293 1.356531 

86 0.014508 0.999963 1.000000 0.989902 1.386075 1.386294 1.354390 

91 0.014508 0.999976 1.000000 0.992391 1.386147 1.386293 1.361199 

89 0.014508 0.999983 1.000000 0.989833 1.386189 1.386294 1.354210 

96 0.014508 0.999978 1.000000 0.991990 1.386155 1.386294 1.360090 

88 0.014508 0.999989 1.000000 0.990225 1.386219 1.386293 1.355275 

94 0.014508 0.999981 1.000000 0.987578 1.386173 1.386294 1.348315 

90 0.014508 0.999964 1.000000 0.993096 1.386077 1.386294 1.363191 

93 0.014508 0.999997 1.000000 0.997612 1.386273 1.386294 1.377054 

92 0.014508 0.999998 1.000000 0.995792 1.386280 1.386293 1.371195 

97 0.014508 0.999986 1.000000 0.992827 1.386207 1.386294 1.362438 

84 0.014508 0.999979 1.000000 0.989613 1.386164 1.386290 1.353644 

83 0.014508 0.999992 1.000000 0.990896 1.386242 1.386294 1.357070 

99 0.014508 0.999994 1.000000 0.992958 1.386253 1.386294 1.362812 

100 0.014508 0.999973 1.000000 0.988540 1.386129 1.386294 1.350772 

102 0.015923 0.999973 1.000000 0.994774 1.386131 1.386294 1.368100 

101 0.015923 0.999986 1.000000 0.990904 1.386207 1.386292 1.357115 

105 0.015923 0.999997 1.000000 0.991444 1.386276 1.386294 1.358591 

113 0.015923 0.999995 1.000000 0.998266 1.386258 1.386294 1.379308 

114 0.015923 0.999963 1.000000 0.988342 1.386074 1.386293 1.350295 

