#Optimization obtained via Optimization of the distance to the set of unitaries
#
#Identifier DeltaT PurityOpt PurityStand PurityBase MutInfOpt MutInfStand MutInfBase 
#
95 0.014508 1.000000 1.000000 0.992535 1.386294 1.386294 1.361621 

82 0.014508 1.000000 1.000000 0.994974 1.386294 1.386294 1.368699 

85 0.014508 1.000000 1.000000 0.992886 1.386294 1.386294 1.362612 

87 0.014508 1.000000 1.000000 0.990211 1.386293 1.386292 1.355241 

98 0.014508 1.000000 1.000000 0.986900 1.386294 1.386293 1.346537 

81 0.014508 1.000000 1.000000 0.990691 1.386294 1.386293 1.356531 

86 0.014508 1.000000 1.000000 0.989902 1.386294 1.386294 1.354390 

91 0.014508 1.000000 1.000000 0.992391 1.386294 1.386293 1.361199 

89 0.014508 1.000000 1.000000 0.989833 1.386294 1.386294 1.354210 

96 0.014508 1.000000 1.000000 0.991990 1.386294 1.386294 1.360090 

88 0.014508 1.000000 1.000000 0.990225 1.386293 1.386293 1.355275 

94 0.014508 1.000000 1.000000 0.987578 1.386294 1.386294 1.348315 

90 0.014508 1.000000 1.000000 0.993096 1.386294 1.386294 1.363191 

93 0.014508 1.000000 1.000000 0.997612 1.386294 1.386294 1.377054 

92 0.014508 1.000000 1.000000 0.995792 1.386294 1.386293 1.371195 

84 0.014508 1.000000 1.000000 0.989613 1.386294 1.386290 1.353644 

97 0.014508 1.000000 1.000000 0.992827 1.386294 1.386294 1.362438 

83 0.014508 1.000000 1.000000 0.990896 1.386294 1.386294 1.357070 

99 0.014508 1.000000 1.000000 0.992958 1.386294 1.386294 1.362812 

100 0.014508 1.000000 1.000000 0.988540 1.386294 1.386294 1.350772 

102 0.015923 1.000000 1.000000 0.994774 1.386294 1.386294 1.368100 

101 0.015923 1.000000 1.000000 0.990904 1.386294 1.386292 1.357115 

105 0.015923 1.000000 1.000000 0.991444 1.386294 1.386294 1.358591 

113 0.015923 1.000000 1.000000 0.998266 1.386294 1.386294 1.379308 

114 0.015923 1.000000 1.000000 0.988342 1.386294 1.386293 1.350295 

104 0.015923 1.000000 0.999999 0.988112 1.386294 1.386290 1.349712 

109 0.015923 1.000000 1.000000 0.988049 1.386294 1.386293 1.349518 

118 0.015923 1.000000 1.000000 0.984689 1.386294 1.386294 1.340965 

110 0.015923 1.000000 1.000000 0.993046 1.386294 1.386294 1.363052 

115 0.015923 1.000000 1.000000 0.993536 1.386294 1.386294 1.364472 

103 0.015923 1.000000 1.000000 0.990610 1.386294 1.386294 1.356297 

106 0.015923 1.000000 1.000000 0.986561 1.386294 1.386294 1.345706 

112 0.015923 1.000000 1.000000 0.997109 1.386294 1.386293 1.375384 

107 0.015923 1.000000 1.000000 0.986930 1.386293 1.386293 1.346670 

108 0.015923 1.000000 1.000000 0.989506 1.386293 1.386293 1.353362 

111 0.015923 1.000000 1.000000 0.988669 1.386294 1.386293 1.351118 

116 0.015923 1.000000 1.000000 0.990342 1.386293 1.386293 1.355585 

117 0.015923 1.000000 1.000000 0.992483 1.386294 1.386294 1.361465 

119 0.015923 1.000000 1.000000 0.991218 1.386294 1.386294 1.357958 

120 0.015923 1.000000 1.000000 0.984013 1.386294 1.386293 1.339292 

130 0.017475 1.000000 1.000000 0.991091 1.386294 1.386294 1.357602 

126 0.017475 1.000000 1.000000 0.985894 1.386294 1.386292 1.344028 

124 0.017475 1.000000 1.000000 0.986235 1.386294 1.386292 1.344927 

131 0.017475 1.000000 1.000000 0.990021 1.386293 1.386292 1.354695 

128 0.017475 1.000000 0.999999 0.986832 1.386293 1.386290 1.346409 

133 0.017475 1.000000 1.000000 0.995934 1.386294 1.386293 1.371637 

125 0.017475 1.000000 1.000000 0.987999 1.386294 1.386294 1.349390 

129 0.017475 1.000000 1.000000 0.987765 1.386294 1.386293 1.348820 

135 0.017475 1.000000 1.000000 0.987030 1.386294 1.386294 1.346940 

